ReviewID,ProductID,ProductName,CustomerID,CustomerName,Rating,ReviewText,ReviewDate,CategoryName
8,4,格力智能手环Mini,BG551,彩虹网络有限公司互联网服务,2.2,使用后感觉，这款智能手环使用体验很差。使用不到一周就出现了问题。,2026-03-27,智能手环
23,8,苹果智能空调Max,EL529,菊风公司传媒有限公司云计算,1.4,使用一周后出现故障，使用说明不清，售后服务也不好。,2026-03-10,智能空调
12,4,格力智能手环Mini,EL529,菊风公司传媒有限公司云计算,2.3,使用一周后出现故障，反应迟钝，售后服务也不好。,2026-02-13,智能手环
9,10,小米智能音箱Basic,DE965,凌云科技有限公司生物科技,4.3,使用了一个月，操作简单，没有发现任何问题。,2026-02-02,智能音箱
3,10,小米智能音箱Basic,VK239,图龙信息传媒有限公司虚拟现实,4.8,智能音箱的设计很人性化，做工精细，值得推荐。,2026-01-27,智能音箱
4,3,谷歌智能开关Standard,KL704,凌云网络有限公司数字科技,3.6,总体来说还行，智能化程度高，就是兼容性差。,2026-01-05,智能开关
17,4,格力智能手环Mini,WQ244,兰金电子传媒有限公司互联网服务,1.7,不推荐这款智能手环，稳定性差，很失望。,2026-01-01,智能手环
19,1,松下智能电视Mini,AA953,四通信息有限公司生物科技,4.2,智能电视的设计很人性化，音质出色，值得推荐。,2025-12-13,智能电视
28,5,飞利浦智能洗衣机Elite,JV501,凌颖信息科技有限公司互联网服务,2.8,不推荐这款智能洗衣机，稳定性差，很失望。,2025-12-12,智能洗衣机
18,7,谷歌智能空气净化器Standard,XE988,MBP软件网络有限公司金融科技,3.9,总体来说还行，续航时间长，就是安装困难。,2025-12-10,智能空气净化器
14,9,松下智能空调Lite,OV840,惠派国际公司信息有限公司信息技术,2.8,对这款智能空调非常不满意，安装困难，浪费钱。,2025-10-28,智能空调
24,10,小米智能音箱Basic,VD175,凌颖信息信息有限公司智能科技,1.5,这款产品有严重问题，续航时间短，已经申请退款。,2025-10-13,智能音箱
30,3,谷歌智能开关Standard,WQ244,兰金电子传媒有限公司互联网服务,2.5,使用后感觉，这款智能开关性价比极低。使用不到一周就出现了问题。,2025-09-18,智能开关
15,9,松下智能空调Lite,CG280,商软冠联传媒有限公司大数据分析,2.8,不推荐这款智能空调，稳定性差，很失望。,2025-09-16,智能空调
20,10,小米智能音箱Basic,IF750,联通时科科技有限公司区块链技术,2.0,不推荐这款智能音箱，画质模糊，很失望。,2025-07-12,智能音箱
11,8,苹果智能空调Max,UP827,惠派国际公司信息有限公司智能科技,1.3,对这款智能空调非常不满意，做工一般，浪费钱。,2025-06-07,智能空调
21,4,格力智能手环Mini,UP827,惠派国际公司信息有限公司智能科技,3.1,这款产品优缺点都有，操作简单，但做工一般。,2025-05-24,智能手环
13,5,飞利浦智能洗衣机Elite,KL704,凌云网络有限公司数字科技,4.3,这款产品的一键控制特别好用，在夜间使用时特别方便。,2025-02-28,智能洗衣机
29,2,小米智能插座Advanced,EL529,菊风公司传媒有限公司云计算,1.7,使用一周后出现故障，售后服务差，售后服务也不好。,2025-02-21,智能插座
5,3,谷歌智能开关Standard,IF750,联通时科科技有限公司区块链技术,2.4,对这款智能开关非常不满意，功能单一，浪费钱。,2025-01-20,智能开关
7,2,小米智能插座Advanced,KL704,凌云网络有限公司数字科技,2.4,不推荐这款智能插座，使用说明不清，很失望。,2025-01-11,智能插座
16,7,谷歌智能空气净化器Standard,VK239,图龙信息传媒有限公司虚拟现实,2.8,作为一个经常使用此类产品的人，这款谷歌智能空气净化器Standard完全不符合预期。主要问题在于音质一般。,2025-01-02,智能空气净化器
6,3,谷歌智能开关Standard,XE988,MBP软件网络有限公司金融科技,2.7,不推荐这款智能开关，做工一般，很失望。,2024-11-12,智能开关
26,8,苹果智能空调Max,UP827,惠派国际公司信息有限公司智能科技,4.0,智能空调的设计很人性化，质量很好，值得推荐。,2024-10-24,智能空调
10,3,谷歌智能开关Standard,XQ641,商软冠联信息有限公司互联网服务,4.2,非常满意这次购买，外观漂亮，送货也很快。,2024-10-15,智能开关
1,1,松下智能电视Mini,JV501,凌颖信息科技有限公司互联网服务,2.1,电池寿命问题很严重，完全不值这个价格。,2024-10-05,智能电视
25,6,博世智能摄像头Ultra,CG280,商软冠联传媒有限公司大数据分析,1.5,我觉得，这款智能摄像头很失望。在做饭时时完全不能正常工作。不推荐任何人购买。,2024-09-26,智能摄像头
22,2,小米智能插座Advanced,JV501,凌颖信息科技有限公司互联网服务,4.3,非常满意这次购买，画质清晰，送货也很快。,2024-09-07,智能插座
2,6,博世智能摄像头Ultra,XE988,MBP软件网络有限公司金融科技,4.0,这款智能摄像头质量很好，画质清晰。总体来说很满意。,2024-08-17,智能摄像头
27,8,苹果智能空调Max,EL529,菊风公司传媒有限公司云计算,1.8,收到货后，这款苹果智能空调Max有严重问题。使用不到一周就出现了损坏。唯一值得称赞的可能就是价格便宜。以后不会再考虑这个品牌的产品。,2024-07-02,智能空调
